,Syria
7/6/21,26.0
7/7/21,23.0
7/8/21,18.0
7/9/21,13.0
7/10/21,0.0
7/11/21,19.0
7/12/21,10.0
7/13/21,6.0
7/14/21,5.0
7/15/21,8.0
7/16/21,7.0
7/17/21,6.0
7/18/21,7.0
7/19/21,6.0
7/20/21,5.0
7/21/21,4.0
7/22/21,4.0
7/23/21,5.0
7/24/21,7.0
7/25/21,12.0
7/26/21,15.0
7/27/21,19.0
7/28/21,19.0
7/29/21,12.0
7/30/21,12.0
7/31/21,9.0
8/1/21,20.0
8/2/21,22.0
8/3/21,21.0
8/4/21,18.0
8/5/21,15.0
8/6/21,12.0
8/7/21,10.0
8/8/21,16.0
8/9/21,19.0
8/10/21,20.0
8/11/21,29.0
8/12/21,40.0
8/13/21,42.0
8/14/21,45.0
8/15/21,50.0
8/16/21,67.0
8/17/21,70.0
8/18/21,75.0
8/19/21,80.0
8/20/21,85.0
8/21/21,80.0
8/22/21,102.0
8/23/21,102.0
8/24/21,112.0
8/25/21,106.0
8/26/21,104.0
8/27/21,111.0
8/28/21,103.0
8/29/21,115.0
8/30/21,125.0
8/31/21,136.0
9/1/21,130.0
9/2/21,129.0
9/3/21,129.0
9/4/21,120.0
9/5/21,120.0
9/6/21,135.0
9/7/21,136.0
9/8/21,138.0
9/9/21,134.0
9/10/21,135.0
9/11/21,137.0
9/12/21,140.0
9/13/21,150.0
9/14/21,157.0
9/15/21,169.0
9/16/21,179.0
9/17/21,184.0
9/18/21,182.0
9/19/21,190.0
9/20/21,204.0
9/21/21,235.0
9/22/21,278.0
9/23/21,315.0
9/24/21,397.0
9/25/21,442.0
9/26/21,393.0
9/27/21,350.0
9/28/21,317.0
9/29/21,293.0
9/30/21,272.0
10/1/21,255.0
10/2/21,236.0
10/3/21,224.0
10/4/21,346.0
10/5/21,343.0
10/6/21,289.0
10/7/21,262.0
10/8/21,293.0
10/9/21,260.0
10/10/21,240.0
10/11/21,276.0
10/12/21,280.0
10/13/21,285.0
10/14/21,273.0
10/15/21,298.0
10/16/21,340.0
10/17/21,381.0
10/18/21,402.0
10/19/21,414.0
10/20/21,392.0
10/21/21,336.0
10/22/21,292.0
10/23/21,300.0
10/24/21,293.0
10/25/21,284.0
10/26/21,277.0
10/27/21,275.0
10/28/21,270.0
10/29/21,265.0
10/30/21,260.0
10/31/21,0.0
11/1/21,520.0
11/2/21,0.0
11/3/21,525.0
11/4/21,0.0
11/5/21,0.0
11/6/21,0.0
11/7/21,0.0
11/8/21,905.0
11/9/21,372.0
11/10/21,0.0
11/11/21,352.0
11/12/21,0.0
11/13/21,310.0
11/14/21,145.0
11/15/21,146.0
11/16/21,143.0
11/17/21,139.0
11/18/21,135.0
11/19/21,128.0
11/20/21,125.0
11/21/21,121.0
11/22/21,119.0
11/23/21,117.0
11/24/21,110.0
11/25/21,106.0
11/26/21,100.0
11/27/21,0.0
11/28/21,201.0
11/29/21,103.0
11/30/21,102.0
12/1/21,97.0
12/2/21,90.0
12/3/21,95.0
12/4/21,86.0
12/5/21,81.0
12/6/21,90.0
12/7/21,92.0
12/8/21,100.0
12/9/21,107.0
12/10/21,93.0
12/11/21,88.0
12/12/21,83.0
12/13/21,0.0
12/14/21,151.0
12/15/21,70.0
12/16/21,72.0
12/17/21,66.0
12/18/21,62.0
12/19/21,58.0
12/20/21,55.0
12/21/21,55.0
12/22/21,50.0
12/23/21,50.0
12/24/21,46.0
12/25/21,44.0
12/26/21,38.0
12/27/21,38.0
12/28/21,40.0
12/29/21,37.0
12/30/21,39.0
12/31/21,35.0
1/1/22,32.0
1/2/22,27.0
1/3/22,27.0
1/4/22,26.0
1/5/22,27.0
1/6/22,25.0
1/7/22,22.0
1/8/22,18.0
1/9/22,20.0
1/10/22,25.0
1/11/22,25.0
1/12/22,28.0
1/13/22,0.0
1/14/22,61.0
1/15/22,33.0
1/16/22,36.0
1/17/22,38.0
1/18/22,36.0
1/19/22,37.0
1/20/22,41.0
1/21/22,40.0
1/22/22,41.0
1/23/22,42.0
1/24/22,44.0
1/25/22,46.0
1/26/22,49.0
1/27/22,53.0
1/28/22,53.0
1/29/22,54.0
1/30/22,57.0
1/31/22,61.0
2/1/22,81.0
2/2/22,86.0
2/3/22,87.0
2/4/22,85.0
2/5/22,85.0
2/6/22,89.0
2/7/22,0.0
2/8/22,204.0
2/9/22,124.0
2/10/22,135.0
2/11/22,126.0
2/12/22,122.0
2/13/22,125.0
2/14/22,130.0
2/15/22,130.0
2/16/22,137.0
2/17/22,130.0
2/18/22,125.0
2/19/22,124.0
2/20/22,132.0
2/21/22,125.0
2/22/22,128.0
2/23/22,128.0
2/24/22,120.0
2/25/22,115.0
2/26/22,105.0
2/27/22,100.0
2/28/22,95.0
