,Belize
7/6/21,18.0
7/7/21,35.0
7/8/21,32.0
7/9/21,42.0
7/10/21,0.0
7/11/21,0.0
7/12/21,43.0
7/13/21,26.0
7/14/21,26.0
7/15/21,31.0
7/16/21,39.0
7/17/21,0.0
7/18/21,0.0
7/19/21,89.0
7/20/21,44.0
7/21/21,49.0
7/22/21,28.0
7/23/21,24.0
7/24/21,0.0
7/25/21,0.0
7/26/21,66.0
7/27/21,0.0
7/28/21,86.0
7/29/21,45.0
7/30/21,49.0
7/31/21,0.0
8/1/21,0.0
8/2/21,0.0
8/3/21,121.0
8/4/21,47.0
8/5/21,51.0
8/6/21,56.0
8/7/21,0.0
8/8/21,0.0
8/9/21,61.0
8/10/21,79.0
8/11/21,94.0
8/12/21,66.0
8/13/21,109.0
8/14/21,0.0
8/15/21,0.0
8/16/21,163.0
8/17/21,98.0
8/18/21,74.0
8/19/21,152.0
8/20/21,81.0
8/21/21,0.0
8/22/21,0.0
8/23/21,141.0
8/24/21,127.0
8/25/21,110.0
8/26/21,100.0
8/27/21,119.0
8/28/21,0.0
8/29/21,0.0
8/30/21,208.0
8/31/21,133.0
9/1/21,140.0
9/2/21,119.0
9/3/21,138.0
9/4/21,0.0
9/5/21,0.0
9/6/21,200.0
9/7/21,169.0
9/8/21,132.0
9/9/21,154.0
9/10/21,0.0
9/11/21,0.0
9/12/21,0.0
9/13/21,362.0
9/14/21,200.0
9/15/21,176.0
9/16/21,191.0
9/17/21,198.0
9/18/21,0.0
9/19/21,0.0
9/20/21,370.0
9/21/21,0.0
9/22/21,283.0
9/23/21,244.0
9/24/21,171.0
9/25/21,0.0
9/26/21,0.0
9/27/21,345.0
9/28/21,350.0
9/29/21,273.0
9/30/21,233.0
10/1/21,202.0
10/2/21,0.0
10/3/21,0.0
10/4/21,419.0
10/5/21,263.0
10/6/21,208.0
10/7/21,294.0
10/8/21,0.0
10/9/21,0.0
10/10/21,0.0
10/11/21,0.0
10/12/21,0.0
10/13/21,760.0
10/14/21,815.0
10/15/21,228.0
10/16/21,0.0
10/17/21,0.0
10/18/21,457.0
10/19/21,321.0
10/20/21,180.0
10/21/21,296.0
10/22/21,201.0
10/23/21,0.0
10/24/21,0.0
10/25/21,436.0
10/26/21,271.0
10/27/21,274.0
10/28/21,199.0
10/29/21,173.0
10/30/21,0.0
10/31/21,0.0
11/1/21,351.0
11/2/21,156.0
11/3/21,218.0
11/4/21,150.0
11/5/21,221.0
11/6/21,0.0
11/7/21,0.0
11/8/21,268.0
11/9/21,0.0
11/10/21,406.0
11/11/21,181.0
11/12/21,150.0
11/13/21,0.0
11/14/21,0.0
11/15/21,206.0
11/16/21,164.0
11/17/21,117.0
11/18/21,115.0
11/19/21,0.0
11/20/21,0.0
11/21/21,0.0
11/22/21,181.0
11/23/21,179.0
11/24/21,106.0
11/25/21,93.0
11/26/21,105.0
11/27/21,0.0
11/28/21,0.0
11/29/21,173.0
11/30/21,93.0
12/1/21,86.0
12/2/21,101.0
12/3/21,62.0
12/4/21,0.0
12/5/21,0.0
12/6/21,144.0
12/7/21,64.0
12/8/21,42.0
12/9/21,61.0
12/10/21,42.0
12/11/21,0.0
12/12/21,0.0
12/13/21,0.0
12/14/21,119.0
12/15/21,35.0
12/16/21,30.0
12/17/21,29.0
12/18/21,0.0
12/19/21,0.0
12/20/21,48.0
12/21/21,28.0
12/22/21,65.0
12/23/21,57.0
12/24/21,59.0
12/25/21,0.0
12/26/21,0.0
12/27/21,0.0
12/28/21,231.0
12/29/21,333.0
12/30/21,421.0
12/31/21,352.0
1/1/22,0.0
1/2/22,0.0
1/3/22,617.0
1/4/22,630.0
1/5/22,541.0
1/6/22,578.0
1/7/22,596.0
1/8/22,0.0
1/9/22,0.0
1/10/22,1181.0
1/11/22,1089.0
1/12/22,878.0
1/13/22,940.0
1/14/22,722.0
1/15/22,0.0
1/16/22,0.0
1/17/22,1255.0
1/18/22,1248.0
1/19/22,1030.0
1/20/22,814.0
1/21/22,794.0
1/22/22,0.0
1/23/22,0.0
1/24/22,1394.0
1/25/22,1116.0
1/26/22,796.0
1/27/22,735.0
1/28/22,693.0
1/29/22,0.0
1/30/22,0.0
1/31/22,0.0
2/1/22,1517.0
2/2/22,771.0
2/3/22,423.0
2/4/22,346.0
2/5/22,0.0
2/6/22,0.0
2/7/22,635.0
2/8/22,337.0
2/9/22,242.0
2/10/22,215.0
2/11/22,210.0
2/12/22,0.0
2/13/22,0.0
2/14/22,335.0
2/15/22,135.0
2/16/22,150.0
2/17/22,172.0
2/18/22,104.0
2/19/22,0.0
2/20/22,0.0
2/21/22,177.0
2/22/22,118.0
2/23/22,76.0
2/24/22,75.0
2/25/22,72.0
2/26/22,0.0
2/27/22,0.0
2/28/22,97.0
