,Eswatini
7/6/21,326.0
7/7/21,112.0
7/8/21,140.0
7/9/21,117.0
7/10/21,91.0
7/11/21,48.0
7/12/21,162.0
7/13/21,200.0
7/14/21,209.0
7/15/21,204.0
7/16/21,205.0
7/17/21,164.0
7/18/21,70.0
7/19/21,111.0
7/20/21,253.0
7/21/21,240.0
7/22/21,144.0
7/23/21,276.0
7/24/21,531.0
7/25/21,318.0
7/26/21,342.0
7/27/21,361.0
7/28/21,539.0
7/29/21,601.0
7/30/21,667.0
7/31/21,464.0
8/1/21,241.0
8/2/21,408.0
8/3/21,839.0
8/4/21,1068.0
8/5/21,862.0
8/6/21,980.0
8/7/21,410.0
8/8/21,273.0
8/9/21,678.0
8/10/21,1060.0
8/11/21,767.0
8/12/21,1020.0
8/13/21,765.0
8/14/21,501.0
8/15/21,157.0
8/16/21,506.0
8/17/21,747.0
8/18/21,769.0
8/19/21,709.0
8/20/21,791.0
8/21/21,753.0
8/22/21,172.0
8/23/21,259.0
8/24/21,515.0
8/25/21,451.0
8/26/21,477.0
8/27/21,326.0
8/28/21,236.0
8/29/21,109.0
8/30/21,226.0
8/31/21,317.0
9/1/21,255.0
9/2/21,231.0
9/3/21,157.0
9/4/21,120.0
9/5/21,42.0
9/6/21,58.0
9/7/21,145.0
9/8/21,121.0
9/9/21,146.0
9/10/21,131.0
9/11/21,54.0
9/12/21,32.0
9/13/21,113.0
9/14/21,108.0
9/15/21,94.0
9/16/21,96.0
9/17/21,43.0
9/18/21,35.0
9/19/21,28.0
9/20/21,15.0
9/21/21,107.0
9/22/21,76.0
9/23/21,55.0
9/24/21,68.0
9/25/21,41.0
9/26/21,28.0
9/27/21,42.0
9/28/21,58.0
9/29/21,34.0
9/30/21,20.0
10/1/21,47.0
10/2/21,34.0
10/3/21,42.0
10/4/21,50.0
10/5/21,55.0
10/6/21,41.0
10/7/21,33.0
10/8/21,29.0
10/9/21,18.0
10/10/21,3.0
10/11/21,8.0
10/12/21,29.0
10/13/21,17.0
10/14/21,14.0
10/15/21,15.0
10/16/21,2.0
10/17/21,2.0
10/18/21,8.0
10/19/21,1.0
10/20/21,4.0
10/21/21,4.0
10/22/21,3.0
10/23/21,1.0
10/24/21,0.0
10/25/21,3.0
10/26/21,3.0
10/27/21,3.0
10/28/21,3.0
10/29/21,7.0
10/30/21,10.0
10/31/21,8.0
11/1/21,9.0
11/2/21,8.0
11/3/21,9.0
11/4/21,7.0
11/5/21,1.0
11/6/21,2.0
11/7/21,0.0
11/8/21,3.0
11/9/21,2.0
11/10/21,2.0
11/11/21,1.0
11/12/21,1.0
11/13/21,6.0
11/14/21,0.0
11/15/21,0.0
11/16/21,9.0
11/17/21,3.0
11/18/21,1.0
11/19/21,0.0
11/20/21,1.0
11/21/21,1.0
11/22/21,4.0
11/23/21,7.0
11/24/21,8.0
11/25/21,8.0
11/26/21,10.0
11/27/21,4.0
11/28/21,10.0
11/29/21,44.0
11/30/21,74.0
12/1/21,97.0
12/2/21,164.0
12/3/21,241.0
12/4/21,210.0
12/5/21,136.0
12/6/21,347.0
12/7/21,507.0
12/8/21,895.0
12/9/21,1084.0
12/10/21,835.0
12/11/21,1002.0
12/12/21,469.0
12/13/21,866.0
12/14/21,1222.0
12/15/21,1469.0
12/16/21,1642.0
12/17/21,1034.0
12/18/21,838.0
12/19/21,322.0
12/20/21,1110.0
12/21/21,948.0
12/22/21,796.0
12/23/21,550.0
12/24/21,513.0
12/25/21,428.0
12/26/21,62.0
12/27/21,118.0
12/28/21,312.0
12/29/21,600.0
12/30/21,359.0
12/31/21,277.0
1/1/22,132.0
1/2/22,45.0
1/3/22,155.0
1/4/22,233.0
1/5/22,199.0
1/6/22,148.0
1/7/22,150.0
1/8/22,69.0
1/9/22,54.0
1/10/22,79.0
1/11/22,119.0
1/12/22,72.0
1/13/22,112.0
1/14/22,101.0
1/15/22,53.0
1/16/22,19.0
1/17/22,29.0
1/18/22,57.0
1/19/22,40.0
1/20/22,28.0
1/21/22,44.0
1/22/22,14.0
1/23/22,20.0
1/24/22,37.0
1/25/22,46.0
1/26/22,41.0
1/27/22,34.0
1/28/22,62.0
1/29/22,28.0
1/30/22,13.0
1/31/22,25.0
2/1/22,56.0
2/2/22,31.0
2/3/22,51.0
2/4/22,35.0
2/5/22,11.0
2/6/22,2.0
2/7/22,26.0
2/8/22,82.0
2/9/22,41.0
2/10/22,25.0
2/11/22,35.0
2/12/22,19.0
2/13/22,14.0
2/14/22,20.0
2/15/22,43.0
2/16/22,42.0
2/17/22,25.0
2/18/22,32.0
2/19/22,15.0
2/20/22,6.0
2/21/22,15.0
2/22/22,28.0
2/23/22,29.0
2/24/22,45.0
2/25/22,24.0
2/26/22,6.0
2/27/22,5.0
2/28/22,30.0
