,Papua New Guinea
7/5/21,0.0
7/6/21,0.0
7/7/21,194.0
7/8/21,0.0
7/9/21,0.0
7/10/21,0.0
7/11/21,48.0
7/12/21,0.0
7/13/21,0.0
7/14/21,0.0
7/15/21,0.0
7/16/21,0.0
7/17/21,0.0
7/18/21,0.0
7/19/21,127.0
7/20/21,48.0
7/21/21,9.0
7/22/21,57.0
7/23/21,0.0
7/24/21,56.0
7/25/21,0.0
7/26/21,0.0
7/27/21,18.0
7/28/21,15.0
7/29/21,3.0
7/30/21,0.0
7/31/21,44.0
8/1/21,0.0
8/2/21,57.0
8/3/21,0.0
8/4/21,0.0
8/5/21,0.0
8/6/21,0.0
8/7/21,0.0
8/8/21,0.0
8/9/21,0.0
8/10/21,0.0
8/11/21,6.0
8/12/21,26.0
8/13/21,0.0
8/14/21,0.0
8/15/21,0.0
8/16/21,6.0
8/17/21,0.0
8/18/21,20.0
8/19/21,0.0
8/20/21,0.0
8/21/21,0.0
8/22/21,0.0
8/23/21,6.0
8/24/21,0.0
8/25/21,0.0
8/26/21,0.0
8/27/21,0.0
8/28/21,0.0
8/29/21,0.0
8/30/21,0.0
8/31/21,0.0
9/1/21,88.0
9/2/21,0.0
9/3/21,0.0
9/4/21,0.0
9/5/21,0.0
9/6/21,0.0
9/7/21,86.0
9/8/21,0.0
9/9/21,327.0
9/10/21,0.0
9/11/21,42.0
9/12/21,0.0
9/13/21,31.0
9/14/21,130.0
9/15/21,0.0
9/16/21,0.0
9/17/21,0.0
9/18/21,0.0
9/19/21,0.0
9/20/21,426.0
9/21/21,101.0
9/22/21,113.0
9/23/21,0.0
9/24/21,96.0
9/25/21,0.0
9/26/21,245.0
9/27/21,0.0
9/28/21,0.0
9/29/21,380.0
9/30/21,318.0
10/1/21,234.0
10/2/21,217.0
10/3/21,0.0
10/4/21,360.0
10/5/21,333.0
10/6/21,275.0
10/7/21,256.0
10/8/21,517.0
10/9/21,0.0
10/10/21,613.0
10/11/21,0.0
10/12/21,339.0
10/13/21,264.0
10/14/21,412.0
10/15/21,0.0
10/16/21,0.0
10/17/21,0.0
10/18/21,816.0
10/19/21,499.0
10/20/21,413.0
10/21/21,385.0
10/22/21,577.0
10/23/21,0.0
10/24/21,896.0
10/25/21,268.0
10/26/21,314.0
10/27/21,278.0
10/28/21,336.0
10/29/21,285.0
10/30/21,0.0
10/31/21,607.0
11/1/21,98.0
11/2/21,222.0
11/3/21,975.0
11/4/21,0.0
11/5/21,277.0
11/6/21,0.0
11/7/21,192.0
11/8/21,312.0
11/9/21,102.0
11/10/21,386.0
11/11/21,99.0
11/12/21,249.0
11/13/21,203.0
11/14/21,123.0
11/15/21,32.0
11/16/21,69.0
11/17/21,283.0
11/18/21,0.0
11/19/21,685.0
11/20/21,0.0
11/21/21,420.0
11/22/21,30.0
11/23/21,133.0
11/24/21,102.0
11/25/21,139.0
11/26/21,60.0
11/27/21,0.0
11/28/21,123.0
11/29/21,61.0
11/30/21,89.0
12/1/21,58.0
12/2/21,117.0
12/3/21,36.0
12/4/21,0.0
12/5/21,148.0
12/6/21,0.0
12/7/21,124.0
12/8/21,40.0
12/9/21,133.0
12/10/21,0.0
12/11/21,0.0
12/12/21,92.0
12/13/21,10.0
12/14/21,25.0
12/15/21,4.0
12/16/21,0.0
12/17/21,38.0
12/18/21,0.0
12/19/21,0.0
12/20/21,0.0
12/21/21,2.0
12/22/21,34.0
12/23/21,19.0
12/24/21,51.0
12/25/21,0.0
12/26/21,0.0
12/27/21,20.0
12/28/21,0.0
12/29/21,7.0
12/30/21,21.0
12/31/21,0.0
1/1/22,0.0
1/2/22,32.0
1/3/22,2.0
1/4/22,1.0
1/5/22,3.0
1/6/22,89.0
1/7/22,41.0
1/8/22,0.0
1/9/22,31.0
1/10/22,46.0
1/11/22,12.0
1/12/22,14.0
1/13/22,3.0
1/14/22,3.0
1/15/22,0.0
1/16/22,0.0
1/17/22,11.0
1/18/22,0.0
1/19/22,0.0
1/20/22,0.0
1/21/22,0.0
1/22/22,0.0
1/23/22,0.0
1/24/22,34.0
1/25/22,68.0
1/26/22,48.0
1/27/22,0.0
1/28/22,270.0
1/29/22,0.0
1/30/22,0.0
1/31/22,0.0
2/1/22,404.0
2/2/22,120.0
2/3/22,0.0
2/4/22,0.0
2/5/22,0.0
2/6/22,0.0
2/7/22,398.0
2/8/22,0.0
2/9/22,195.0
2/10/22,239.0
2/11/22,0.0
2/12/22,259.0
2/13/22,0.0
2/14/22,190.0
2/15/22,0.0
2/16/22,364.0
2/17/22,545.0
2/18/22,0.0
2/19/22,0.0
2/20/22,329.0
2/21/22,387.0
2/22/22,0.0
2/23/22,325.0
2/24/22,127.0
2/25/22,290.0
2/26/22,0.0
2/27/22,0.0
2/28/22,252.0
