,Cambodia
7/6/21,935.0
7/7/21,981.0
7/8/21,954.0
7/9/21,988.0
7/10/21,933.0
7/11/21,981.0
7/12/21,911.0
7/13/21,830.0
7/14/21,915.0
7/15/21,996.0
7/16/21,889.0
7/17/21,836.0
7/18/21,845.0
7/19/21,790.0
7/20/21,825.0
7/21/21,812.0
7/22/21,811.0
7/23/21,825.0
7/24/21,860.0
7/25/21,819.0
7/26/21,778.0
7/27/21,685.0
7/28/21,766.0
7/29/21,765.0
7/30/21,668.0
7/31/21,658.0
8/1/21,671.0
8/2/21,560.0
8/3/21,577.0
8/4/21,583.0
8/5/21,591.0
8/6/21,588.0
8/7/21,522.0
8/8/21,556.0
8/9/21,508.0
8/10/21,499.0
8/11/21,486.0
8/12/21,455.0
8/13/21,423.0
8/14/21,598.0
8/15/21,588.0
8/16/21,593.0
8/17/21,556.0
8/18/21,593.0
8/19/21,533.0
8/20/21,519.0
8/21/21,493.0
8/22/21,496.0
8/23/21,410.0
8/24/21,466.0
8/25/21,428.0
8/26/21,423.0
8/27/21,411.0
8/28/21,401.0
8/29/21,438.0
8/30/21,408.0
8/31/21,439.0
9/1/21,455.0
9/2/21,416.0
9/3/21,491.0
9/4/21,422.0
9/5/21,461.0
9/6/21,528.0
9/7/21,511.0
9/8/21,596.0
9/9/21,589.0
9/10/21,660.0
9/11/21,658.0
9/12/21,662.0
9/13/21,629.0
9/14/21,657.0
9/15/21,653.0
9/16/21,693.0
9/17/21,698.0
9/18/21,648.0
9/19/21,612.0
9/20/21,622.0
9/21/21,628.0
9/22/21,637.0
9/23/21,638.0
9/24/21,822.0
9/25/21,816.0
9/26/21,830.0
9/27/21,839.0
9/28/21,866.0
9/29/21,881.0
9/30/21,978.0
10/1/21,232.0
10/2/21,174.0
10/3/21,199.0
10/4/21,219.0
10/5/21,228.0
10/6/21,221.0
10/7/21,224.0
10/8/21,203.0
10/9/21,220.0
10/10/21,239.0
10/11/21,258.0
10/12/21,267.0
10/13/21,272.0
10/14/21,268.0
10/15/21,265.0
10/16/21,267.0
10/17/21,258.0
10/18/21,195.0
10/19/21,175.0
10/20/21,166.0
10/21/21,151.0
10/22/21,148.0
10/23/21,144.0
10/24/21,128.0
10/25/21,116.0
10/26/21,112.0
10/27/21,111.0
10/28/21,109.0
10/29/21,101.0
10/30/21,106.0
10/31/21,95.0
11/1/21,91.0
11/2/21,174.0
11/3/21,0.0
11/4/21,83.0
11/5/21,78.0
11/6/21,73.0
11/7/21,71.0
11/8/21,68.0
11/9/21,67.0
11/10/21,65.0
11/11/21,66.0
11/12/21,63.0
11/13/21,60.0
11/14/21,55.0
11/15/21,52.0
11/16/21,48.0
11/17/21,51.0
11/18/21,54.0
11/19/21,45.0
11/20/21,40.0
11/21/21,41.0
11/22/21,37.0
11/23/21,39.0
11/24/21,34.0
11/25/21,32.0
11/26/21,29.0
11/27/21,26.0
11/28/21,23.0
11/29/21,25.0
11/30/21,22.0
12/1/21,26.0
12/2/21,23.0
12/3/21,24.0
12/4/21,25.0
12/5/21,24.0
12/6/21,16.0
12/7/21,14.0
12/8/21,14.0
12/9/21,12.0
12/10/21,15.0
12/11/21,16.0
12/12/21,12.0
12/13/21,15.0
12/14/21,12.0
12/15/21,8.0
12/16/21,7.0
12/17/21,8.0
12/18/21,5.0
12/19/21,6.0
12/20/21,7.0
12/21/21,4.0
12/22/21,3.0
12/23/21,4.0
12/24/21,6.0
12/25/21,5.0
12/26/21,4.0
12/27/21,15.0
12/28/21,5.0
12/29/21,4.0
12/30/21,14.0
12/31/21,6.0
1/1/22,14.0
1/2/22,3.0
1/3/22,6.0
1/4/22,10.0
1/5/22,9.0
1/6/22,18.0
1/7/22,11.0
1/8/22,27.0
1/9/22,30.0
1/10/22,15.0
1/11/22,34.0
1/12/22,48.0
1/13/22,0.0
1/14/22,10.0
1/15/22,45.0
1/16/22,23.0
1/17/22,29.0
1/18/22,22.0
1/19/22,30.0
1/20/22,37.0
1/21/22,42.0
1/22/22,44.0
1/23/22,26.0
1/24/22,40.0
1/25/22,28.0
1/26/22,22.0
1/27/22,34.0
1/28/22,38.0
1/29/22,54.0
1/30/22,57.0
1/31/22,56.0
2/1/22,35.0
2/2/22,48.0
2/3/22,46.0
2/4/22,66.0
2/5/22,112.0
2/6/22,111.0
2/7/22,108.0
2/8/22,102.0
2/9/22,223.0
2/10/22,262.0
2/11/22,274.0
2/12/22,300.0
2/13/22,401.0
2/14/22,512.0
2/15/22,184.0
2/16/22,204.0
2/17/22,444.0
2/18/22,414.0
2/19/22,552.0
2/20/22,736.0
2/21/22,488.0
2/22/22,598.0
2/23/22,558.0
2/24/22,466.0
2/25/22,479.0
2/26/22,470.0
2/27/22,372.0
2/28/22,356.0
