,Suriname
7/6/21,116.0
7/7/21,207.0
7/8/21,209.0
7/9/21,172.0
7/10/21,124.0
7/11/21,90.0
7/12/21,80.0
7/13/21,131.0
7/14/21,122.0
7/15/21,145.0
7/16/21,194.0
7/17/21,121.0
7/18/21,96.0
7/19/21,40.0
7/20/21,123.0
7/21/21,55.0
7/22/21,83.0
7/23/21,116.0
7/24/21,108.0
7/25/21,78.0
7/26/21,28.0
7/27/21,125.0
7/28/21,90.0
7/29/21,100.0
7/30/21,69.0
7/31/21,64.0
8/1/21,51.0
8/2/21,37.0
8/3/21,110.0
8/4/21,65.0
8/5/21,102.0
8/6/21,137.0
8/7/21,64.0
8/8/21,85.0
8/9/21,44.0
8/10/21,57.0
8/11/21,119.0
8/12/21,96.0
8/13/21,115.0
8/14/21,106.0
8/15/21,54.0
8/16/21,48.0
8/17/21,161.0
8/18/21,114.0
8/19/21,154.0
8/20/21,140.0
8/21/21,161.0
8/22/21,132.0
8/23/21,71.0
8/24/21,202.0
8/25/21,222.0
8/26/21,230.0
8/27/21,234.0
8/28/21,222.0
8/29/21,156.0
8/30/21,127.0
8/31/21,326.0
9/1/21,306.0
9/2/21,322.0
9/3/21,199.0
9/4/21,415.0
9/5/21,320.0
9/6/21,157.0
9/7/21,380.0
9/8/21,502.0
9/9/21,295.0
9/10/21,575.0
9/11/21,312.0
9/12/21,497.0
9/13/21,415.0
9/14/21,649.0
9/15/21,571.0
9/16/21,609.0
9/17/21,611.0
9/18/21,318.0
9/19/21,0.0
9/20/21,844.0
9/21/21,547.0
9/22/21,632.0
9/23/21,371.0
9/24/21,469.0
9/25/21,299.0
9/26/21,0.0
9/27/21,568.0
9/28/21,513.0
9/29/21,430.0
9/30/21,212.0
10/1/21,0.0
10/2/21,466.0
10/3/21,188.0
10/4/21,431.0
10/5/21,0.0
10/6/21,0.0
10/7/21,1059.0
10/8/21,261.0
10/9/21,234.0
10/10/21,0.0
10/11/21,36.0
10/12/21,567.0
10/13/21,719.0
10/14/21,269.0
10/15/21,271.0
10/16/21,181.0
10/17/21,134.0
10/18/21,549.0
10/19/21,288.0
10/20/21,193.0
10/21/21,200.0
10/22/21,198.0
10/23/21,103.0
10/24/21,140.0
10/25/21,216.0
10/26/21,214.0
10/27/21,122.0
10/28/21,115.0
10/29/21,114.0
10/30/21,65.0
10/31/21,55.0
11/1/21,0.0
11/2/21,100.0
11/3/21,138.0
11/4/21,105.0
11/5/21,38.0
11/6/21,104.0
11/7/21,46.0
11/8/21,52.0
11/9/21,210.0
11/10/21,90.0
11/11/21,0.0
11/12/21,48.0
11/13/21,63.0
11/14/21,33.0
11/15/21,32.0
11/16/21,92.0
11/17/21,72.0
11/18/21,114.0
11/19/21,0.0
11/20/21,54.0
11/21/21,28.0
11/22/21,93.0
11/23/21,0.0
11/24/21,98.0
11/25/21,27.0
11/26/21,54.0
11/27/21,31.0
11/28/21,19.0
11/29/21,63.0
11/30/21,25.0
12/1/21,34.0
12/2/21,47.0
12/3/21,31.0
12/4/21,33.0
12/5/21,16.0
12/6/21,43.0
12/7/21,0.0
12/8/21,31.0
12/9/21,66.0
12/10/21,18.0
12/11/21,0.0
12/12/21,35.0
12/13/21,0.0
12/14/21,87.0
12/15/21,34.0
12/16/21,0.0
12/17/21,38.0
12/18/21,45.0
12/19/21,10.0
12/20/21,0.0
12/21/21,82.0
12/22/21,20.0
12/23/21,24.0
12/24/21,21.0
12/25/21,15.0
12/26/21,0.0
12/27/21,105.0
12/28/21,108.0
12/29/21,240.0
12/30/21,238.0
12/31/21,177.0
1/1/22,166.0
1/2/22,283.0
1/3/22,745.0
1/4/22,820.0
1/5/22,916.0
1/6/22,665.0
1/7/22,751.0
1/8/22,547.0
1/9/22,366.0
1/10/22,1009.0
1/11/22,1062.0
1/12/22,1047.0
1/13/22,885.0
1/14/22,1026.0
1/15/22,709.0
1/16/22,435.0
1/17/22,1404.0
1/18/22,1351.0
1/19/22,1135.0
1/20/22,792.0
1/21/22,715.0
1/22/22,466.0
1/23/22,333.0
1/24/22,863.0
1/25/22,692.0
1/26/22,459.0
1/27/22,460.0
1/28/22,395.0
1/29/22,219.0
1/30/22,0.0
1/31/22,607.0
2/1/22,187.0
2/2/22,514.0
2/3/22,388.0
2/4/22,394.0
2/5/22,150.0
2/6/22,129.0
2/7/22,358.0
2/8/22,350.0
2/9/22,259.0
2/10/22,205.0
2/11/22,173.0
2/12/22,99.0
2/13/22,61.0
2/14/22,167.0
2/15/22,131.0
2/16/22,116.0
2/17/22,99.0
2/18/22,85.0
2/19/22,52.0
2/20/22,30.0
2/21/22,94.0
2/22/22,70.0
2/23/22,55.0
2/24/22,81.0
2/25/22,54.0
2/26/22,22.0
2/27/22,31.0
2/28/22,93.0
