,Bahamas
7/6/21,81.0
7/7/21,76.0
7/8/21,59.0
7/9/21,0.0
7/10/21,0.0
7/11/21,0.0
7/12/21,0.0
7/13/21,209.0
7/14/21,41.0
7/15/21,0.0
7/16/21,130.0
7/17/21,0.0
7/18/21,0.0
7/19/21,162.0
7/20/21,38.0
7/21/21,177.0
7/22/21,0.0
7/23/21,0.0
7/24/21,0.0
7/25/21,0.0
7/26/21,471.0
7/27/21,0.0
7/28/21,205.0
7/29/21,88.0
7/30/21,132.0
7/31/21,163.0
8/1/21,0.0
8/2/21,0.0
8/3/21,171.0
8/4/21,113.0
8/5/21,67.0
8/6/21,228.0
8/7/21,0.0
8/8/21,118.0
8/9/21,257.0
8/10/21,121.0
8/11/21,0.0
8/12/21,226.0
8/13/21,0.0
8/14/21,0.0
8/15/21,0.0
8/16/21,527.0
8/17/21,0.0
8/18/21,0.0
8/19/21,180.0
8/20/21,114.0
8/21/21,0.0
8/22/21,0.0
8/23/21,424.0
8/24/21,159.0
8/25/21,70.0
8/26/21,102.0
8/27/21,223.0
8/28/21,0.0
8/29/21,0.0
8/30/21,199.0
8/31/21,0.0
9/1/21,0.0
9/2/21,437.0
9/3/21,118.0
9/4/21,0.0
9/5/21,0.0
9/6/21,159.0
9/7/21,182.0
9/8/21,0.0
9/9/21,104.0
9/10/21,136.0
9/11/21,60.0
9/12/21,0.0
9/13/21,266.0
9/14/21,0.0
9/15/21,194.0
9/16/21,0.0
9/17/21,235.0
9/18/21,0.0
9/19/21,0.0
9/20/21,185.0
9/21/21,73.0
9/22/21,0.0
9/23/21,0.0
9/24/21,315.0
9/25/21,0.0
9/26/21,0.0
9/27/21,172.0
9/28/21,67.0
9/29/21,142.0
9/30/21,0.0
10/1/21,130.0
10/2/21,0.0
10/3/21,0.0
10/4/21,198.0
10/5/21,0.0
10/6/21,146.0
10/7/21,60.0
10/8/21,62.0
10/9/21,0.0
10/10/21,0.0
10/11/21,0.0
10/12/21,0.0
10/13/21,0.0
10/14/21,0.0
10/15/21,0.0
10/16/21,0.0
10/17/21,0.0
10/18/21,398.0
10/19/21,70.0
10/20/21,44.0
10/21/21,62.0
10/22/21,25.0
10/23/21,0.0
10/24/21,0.0
10/25/21,80.0
10/26/21,0.0
10/27/21,0.0
10/28/21,92.0
10/29/21,0.0
10/30/21,0.0
10/31/21,0.0
11/1/21,56.0
11/2/21,22.0
11/3/21,0.0
11/4/21,56.0
11/5/21,0.0
11/6/21,0.0
11/7/21,0.0
11/8/21,44.0
11/9/21,63.0
11/10/21,-48.0
11/11/21,8.0
11/12/21,20.0
11/13/21,0.0
11/14/21,0.0
11/15/21,29.0
11/16/21,12.0
11/17/21,16.0
11/18/21,11.0
11/19/21,15.0
11/20/21,0.0
11/21/21,0.0
11/22/21,10.0
11/23/21,0.0
11/24/21,31.0
11/25/21,0.0
11/26/21,24.0
11/27/21,14.0
11/28/21,0.0
11/29/21,29.0
11/30/21,28.0
12/1/21,11.0
12/2/21,7.0
12/3/21,16.0
12/4/21,0.0
12/5/21,0.0
12/6/21,14.0
12/7/21,7.0
12/8/21,0.0
12/9/21,13.0
12/10/21,22.0
12/11/21,0.0
12/12/21,0.0
12/13/21,26.0
12/14/21,0.0
12/15/21,43.0
12/16/21,21.0
12/17/21,24.0
12/18/21,0.0
12/19/21,0.0
12/20/21,117.0
12/21/21,23.0
12/22/21,105.0
12/23/21,140.0
12/24/21,159.0
12/25/21,0.0
12/26/21,0.0
12/27/21,0.0
12/28/21,0.0
12/29/21,665.0
12/30/21,65.0
12/31/21,207.0
1/1/22,0.0
1/2/22,809.0
1/3/22,249.0
1/4/22,477.0
1/5/22,315.0
1/6/22,375.0
1/7/22,421.0
1/8/22,0.0
1/9/22,1497.0
1/10/22,349.0
1/11/22,521.0
1/12/22,241.0
1/13/22,178.0
1/14/22,0.0
1/15/22,747.0
1/16/22,195.0
1/17/22,0.0
1/18/22,255.0
1/19/22,444.0
1/20/22,144.0
1/21/22,222.0
1/22/22,84.0
1/23/22,69.0
1/24/22,69.0
1/25/22,101.0
1/26/22,44.0
1/27/22,94.0
1/28/22,43.0
1/29/22,67.0
1/30/22,26.0
1/31/22,50.0
2/1/22,44.0
2/2/22,39.0
2/3/22,35.0
2/4/22,0.0
2/5/22,35.0
2/6/22,58.0
2/7/22,29.0
2/8/22,31.0
2/9/22,0.0
2/10/22,38.0
2/11/22,32.0
2/12/22,22.0
2/13/22,6.0
2/14/22,19.0
2/15/22,22.0
2/16/22,33.0
2/17/22,0.0
2/18/22,13.0
2/19/22,6.0
2/20/22,28.0
2/21/22,16.0
2/22/22,13.0
2/23/22,0.0
2/24/22,24.0
2/25/22,3.0
2/26/22,0.0
2/27/22,21.0
2/28/22,6.0
