,Sudan
7/6/21,90.0
7/7/21,6.0
7/8/21,0.0
7/9/21,0.0
7/10/21,0.0
7/11/21,0.0
7/12/21,0.0
7/13/21,0.0
7/14/21,0.0
7/15/21,181.0
7/16/21,0.0
7/17/21,0.0
7/18/21,0.0
7/19/21,152.0
7/20/21,0.0
7/21/21,0.0
7/22/21,0.0
7/23/21,0.0
7/24/21,0.0
7/25/21,0.0
7/26/21,0.0
7/27/21,0.0
7/28/21,0.0
7/29/21,0.0
7/30/21,0.0
7/31/21,0.0
8/1/21,0.0
8/2/21,0.0
8/3/21,0.0
8/4/21,0.0
8/5/21,0.0
8/6/21,0.0
8/7/21,0.0
8/8/21,0.0
8/9/21,0.0
8/10/21,390.0
8/11/21,0.0
8/12/21,4.0
8/13/21,11.0
8/14/21,0.0
8/15/21,0.0
8/16/21,13.0
8/17/21,0.0
8/18/21,60.0
8/19/21,0.0
8/20/21,4.0
8/21/21,0.0
8/22/21,0.0
8/23/21,19.0
8/24/21,9.0
8/25/21,14.0
8/26/21,36.0
8/27/21,1.0
8/28/21,0.0
8/29/21,0.0
8/30/21,9.0
8/31/21,1.0
9/1/21,0.0
9/2/21,2.0
9/3/21,175.0
9/4/21,0.0
9/5/21,0.0
9/6/21,-13.0
9/7/21,2.0
9/8/21,2.0
9/9/21,54.0
9/10/21,0.0
9/11/21,0.0
9/12/21,0.0
9/13/21,20.0
9/14/21,0.0
9/15/21,0.0
9/16/21,44.0
9/17/21,0.0
9/18/21,0.0
9/19/21,0.0
9/20/21,46.0
9/21/21,1.0
9/22/21,8.0
9/23/21,27.0
9/24/21,0.0
9/25/21,0.0
9/26/21,0.0
9/27/21,124.0
9/28/21,16.0
9/29/21,28.0
9/30/21,38.0
10/1/21,0.0
10/2/21,0.0
10/3/21,0.0
10/4/21,62.0
10/5/21,287.0
10/6/21,33.0
10/7/21,5.0
10/8/21,76.0
10/9/21,78.0
10/10/21,0.0
10/11/21,3.0
10/12/21,57.0
10/13/21,235.0
10/14/21,297.0
10/15/21,0.0
10/16/21,134.0
10/17/21,0.0
10/18/21,289.0
10/19/21,0.0
10/20/21,0.0
10/21/21,245.0
10/22/21,0.0
10/23/21,154.0
10/24/21,0.0
10/25/21,195.0
10/26/21,0.0
10/27/21,0.0
10/28/21,0.0
10/29/21,0.0
10/30/21,0.0
10/31/21,0.0
11/1/21,0.0
11/2/21,0.0
11/3/21,0.0
11/4/21,0.0
11/5/21,0.0
11/6/21,0.0
11/7/21,0.0
11/8/21,0.0
11/9/21,586.0
11/10/21,0.0
11/11/21,74.0
11/12/21,0.0
11/13/21,0.0
11/14/21,0.0
11/15/21,216.0
11/16/21,0.0
11/17/21,42.0
11/18/21,207.0
11/19/21,0.0
11/20/21,0.0
11/21/21,0.0
11/22/21,264.0
11/23/21,68.0
11/24/21,69.0
11/25/21,97.0
11/26/21,0.0
11/27/21,0.0
11/28/21,0.0
11/29/21,770.0
11/30/21,258.0
12/1/21,145.0
12/2/21,260.0
12/3/21,0.0
12/4/21,0.0
12/5/21,0.0
12/6/21,681.0
12/7/21,0.0
12/8/21,236.0
12/9/21,0.0
12/10/21,123.0
12/11/21,0.0
12/12/21,0.0
12/13/21,348.0
12/14/21,235.0
12/15/21,0.0
12/16/21,0.0
12/17/21,0.0
12/18/21,0.0
12/19/21,0.0
12/20/21,789.0
12/21/21,0.0
12/22/21,136.0
12/23/21,63.0
12/24/21,0.0
12/25/21,0.0
12/26/21,0.0
12/27/21,66.0
12/28/21,126.0
12/29/21,226.0
12/30/21,0.0
12/31/21,0.0
1/1/22,0.0
1/2/22,0.0
1/3/22,0.0
1/4/22,754.0
1/5/22,0.0
1/6/22,171.0
1/7/22,0.0
1/8/22,0.0
1/9/22,0.0
1/10/22,912.0
1/11/22,458.0
1/12/22,283.0
1/13/22,820.0
1/14/22,195.0
1/15/22,873.0
1/16/22,0.0
1/17/22,818.0
1/18/22,543.0
1/19/22,735.0
1/20/22,879.0
1/21/22,0.0
1/22/22,0.0
1/23/22,0.0
1/24/22,1190.0
1/25/22,684.0
1/26/22,762.0
1/27/22,511.0
1/28/22,0.0
1/29/22,0.0
1/30/22,0.0
1/31/22,526.0
2/1/22,576.0
2/2/22,415.0
2/3/22,251.0
2/4/22,0.0
2/5/22,0.0
2/6/22,0.0
2/7/22,320.0
2/8/22,100.0
2/9/22,51.0
2/10/22,110.0
2/11/22,70.0
2/12/22,106.0
2/13/22,0.0
2/14/22,272.0
2/15/22,0.0
2/16/22,36.0
2/17/22,0.0
2/18/22,0.0
2/19/22,0.0
2/20/22,0.0
2/21/22,1284.0
2/22/22,28.0
2/23/22,99.0
2/24/22,26.0
2/25/22,0.0
2/26/22,0.0
2/27/22,0.0
2/28/22,82.0
