,Guyana
7/6/21,179.0
7/7/21,77.0
7/8/21,112.0
7/9/21,77.0
7/10/21,90.0
7/11/21,29.0
7/12/21,49.0
7/13/21,53.0
7/14/21,168.0
7/15/21,51.0
7/16/21,77.0
7/17/21,120.0
7/18/21,91.0
7/19/21,0.0
7/20/21,106.0
7/21/21,65.0
7/22/21,0.0
7/23/21,117.0
7/24/21,240.0
7/25/21,60.0
7/26/21,31.0
7/27/21,53.0
7/28/21,0.0
7/29/21,138.0
7/30/21,86.0
7/31/21,65.0
8/1/21,0.0
8/2/21,0.0
8/3/21,120.0
8/4/21,0.0
8/5/21,146.0
8/6/21,54.0
8/7/21,89.0
8/8/21,50.0
8/9/21,10.0
8/10/21,0.0
8/11/21,164.0
8/12/21,88.0
8/13/21,100.0
8/14/21,111.0
8/15/21,106.0
8/16/21,14.0
8/17/21,100.0
8/18/21,120.0
8/19/21,0.0
8/20/21,252.0
8/21/21,177.0
8/22/21,112.0
8/23/21,0.0
8/24/21,170.0
8/25/21,207.0
8/26/21,151.0
8/27/21,103.0
8/28/21,0.0
8/29/21,356.0
8/30/21,80.0
8/31/21,145.0
9/1/21,222.0
9/2/21,181.0
9/3/21,161.0
9/4/21,183.0
9/5/21,215.0
9/6/21,0.0
9/7/21,262.0
9/8/21,0.0
9/9/21,529.0
9/10/21,0.0
9/11/21,481.0
9/12/21,194.0
9/13/21,123.0
9/14/21,135.0
9/15/21,298.0
9/16/21,299.0
9/17/21,241.0
9/18/21,273.0
9/19/21,208.0
9/20/21,130.0
9/21/21,141.0
9/22/21,362.0
9/23/21,258.0
9/24/21,252.0
9/25/21,211.0
9/26/21,241.0
9/27/21,88.0
9/28/21,123.0
9/29/21,279.0
9/30/21,189.0
10/1/21,228.0
10/2/21,242.0
10/3/21,186.0
10/4/21,0.0
10/5/21,218.0
10/6/21,250.0
10/7/21,224.0
10/8/21,0.0
10/9/21,391.0
10/10/21,130.0
10/11/21,52.0
10/12/21,75.0
10/13/21,150.0
10/14/21,159.0
10/15/21,108.0
10/16/21,122.0
10/17/21,93.0
10/18/21,59.0
10/19/21,94.0
10/20/21,118.0
10/21/21,74.0
10/22/21,77.0
10/23/21,100.0
10/24/21,90.0
10/25/21,37.0
10/26/21,66.0
10/27/21,82.0
10/28/21,98.0
10/29/21,94.0
10/30/21,104.0
10/31/21,0.0
11/1/21,109.0
11/2/21,62.0
11/3/21,81.0
11/4/21,129.0
11/5/21,64.0
11/6/21,86.0
11/7/21,0.0
11/8/21,178.0
11/9/21,0.0
11/10/21,182.0
11/11/21,94.0
11/12/21,119.0
11/13/21,89.0
11/14/21,76.0
11/15/21,55.0
11/16/21,44.0
11/17/21,83.0
11/18/21,91.0
11/19/21,94.0
11/20/21,0.0
11/21/21,141.0
11/22/21,31.0
11/23/21,89.0
11/24/21,79.0
11/25/21,89.0
11/26/21,50.0
11/27/21,44.0
11/28/21,66.0
11/29/21,52.0
11/30/21,49.0
12/1/21,77.0
12/2/21,76.0
12/3/21,41.0
12/4/21,50.0
12/5/21,42.0
12/6/21,57.0
12/7/21,44.0
12/8/21,72.0
12/9/21,69.0
12/10/21,51.0
12/11/21,0.0
12/12/21,101.0
12/13/21,0.0
12/14/21,64.0
12/15/21,66.0
12/16/21,44.0
12/17/21,23.0
12/18/21,66.0
12/19/21,53.0
12/20/21,21.0
12/21/21,35.0
12/22/21,40.0
12/23/21,32.0
12/24/21,44.0
12/25/21,44.0
12/26/21,21.0
12/27/21,12.0
12/28/21,32.0
12/29/21,87.0
12/30/21,157.0
12/31/21,178.0
1/1/22,206.0
1/2/22,281.0
1/3/22,94.0
1/4/22,485.0
1/5/22,779.0
1/6/22,967.0
1/7/22,844.0
1/8/22,1016.0
1/9/22,657.0
1/10/22,438.0
1/11/22,665.0
1/12/22,1000.0
1/13/22,1186.0
1/14/22,865.0
1/15/22,1065.0
1/16/22,1082.0
1/17/22,892.0
1/18/22,1083.0
1/19/22,743.0
1/20/22,815.0
1/21/22,892.0
1/22/22,957.0
1/23/22,642.0
1/24/22,173.0
1/25/22,372.0
1/26/22,424.0
1/27/22,408.0
1/28/22,0.0
1/29/22,846.0
1/30/22,353.0
1/31/22,86.0
2/1/22,220.0
2/2/22,276.0
2/3/22,291.0
2/4/22,432.0
2/5/22,296.0
2/6/22,196.0
2/7/22,16.0
2/8/22,118.0
2/9/22,167.0
2/10/22,160.0
2/11/22,95.0
2/12/22,0.0
2/13/22,0.0
2/14/22,109.0
2/15/22,95.0
2/16/22,105.0
2/17/22,72.0
2/18/22,48.0
2/19/22,53.0
2/20/22,18.0
2/21/22,12.0
2/22/22,78.0
2/23/22,33.0
2/24/22,19.0
2/25/22,58.0
2/26/22,35.0
2/27/22,0.0
2/28/22,30.0
