,Iceland
7/6/21,0.0
7/7/21,10.0
7/8/21,0.0
7/9/21,0.0
7/10/21,11.0
7/11/21,0.0
7/12/21,0.0
7/13/21,0.0
7/14/21,0.0
7/15/21,0.0
7/16/21,0.0
7/17/21,43.0
7/18/21,0.0
7/19/21,0.0
7/20/21,114.0
7/21/21,65.0
7/22/21,70.0
7/23/21,87.0
7/24/21,94.0
7/25/21,85.0
7/26/21,71.0
7/27/21,124.0
7/28/21,117.0
7/29/21,131.0
7/30/21,125.0
7/31/21,158.0
8/1/21,92.0
8/2/21,71.0
8/3/21,111.0
8/4/21,120.0
8/5/21,155.0
8/6/21,105.0
8/7/21,125.0
8/8/21,55.0
8/9/21,107.0
8/10/21,56.0
8/11/21,170.0
8/12/21,120.0
8/13/21,130.0
8/14/21,82.0
8/15/21,64.0
8/16/21,56.0
8/17/21,104.0
8/18/21,130.0
8/19/21,104.0
8/20/21,64.0
8/21/21,73.0
8/22/21,62.0
8/23/21,62.0
8/24/21,77.0
8/25/21,87.0
8/26/21,102.0
8/27/21,71.0
8/28/21,91.0
8/29/21,53.0
8/30/21,47.0
8/31/21,84.0
9/1/21,67.0
9/2/21,56.0
9/3/21,44.0
9/4/21,54.0
9/5/21,22.0
9/6/21,31.0
9/7/21,27.0
9/8/21,40.0
9/9/21,43.0
9/10/21,26.0
9/11/21,35.0
9/12/21,13.0
9/13/21,32.0
9/14/21,28.0
9/15/21,31.0
9/16/21,39.0
9/17/21,27.0
9/18/21,0.0
9/19/21,0.0
9/20/21,67.0
9/21/21,47.0
9/22/21,40.0
9/23/21,36.0
9/24/21,38.0
9/25/21,0.0
9/26/21,0.0
9/27/21,90.0
9/28/21,38.0
9/29/21,21.0
9/30/21,20.0
10/1/21,38.0
10/2/21,0.0
10/3/21,0.0
10/4/21,119.0
10/5/21,32.0
10/6/21,45.0
10/7/21,57.0
10/8/21,55.0
10/9/21,0.0
10/10/21,0.0
10/11/21,96.0
10/12/21,44.0
10/13/21,55.0
10/14/21,48.0
10/15/21,65.0
10/16/21,0.0
10/17/21,0.0
10/18/21,159.0
10/19/21,89.0
10/20/21,72.0
10/21/21,52.0
10/22/21,72.0
10/23/21,0.0
10/24/21,0.0
10/25/21,243.0
10/26/21,94.0
10/27/21,77.0
10/28/21,100.0
10/29/21,79.0
10/30/21,0.0
10/31/21,0.0
11/1/21,247.0
11/2/21,90.0
11/3/21,94.0
11/4/21,164.0
11/5/21,168.0
11/6/21,0.0
11/7/21,0.0
11/8/21,316.0
11/9/21,186.0
11/10/21,178.0
11/11/21,205.0
11/12/21,181.0
11/13/21,0.0
11/14/21,0.0
11/15/21,420.0
11/16/21,227.0
11/17/21,145.0
11/18/21,130.0
11/19/21,192.0
11/20/21,0.0
11/21/21,0.0
11/22/21,365.0
11/23/21,202.0
11/24/21,150.0
11/25/21,142.0
11/26/21,152.0
11/27/21,0.0
11/28/21,0.0
11/29/21,324.0
11/30/21,124.0
12/1/21,161.0
12/2/21,143.0
12/3/21,135.0
12/4/21,0.0
12/5/21,0.0
12/6/21,309.0
12/7/21,123.0
12/8/21,131.0
12/9/21,156.0
12/10/21,107.0
12/11/21,0.0
12/12/21,0.0
12/13/21,388.0
12/14/21,161.0
12/15/21,153.0
12/16/21,183.0
12/17/21,188.0
12/18/21,0.0
12/19/21,0.0
12/20/21,658.0
12/21/21,325.0
12/22/21,372.0
12/23/21,500.0
12/24/21,0.0
12/25/21,0.0
12/26/21,0.0
12/27/21,2253.0
12/28/21,974.0
12/29/21,0.0
12/30/21,1745.0
12/31/21,0.0
1/1/22,0.0
1/2/22,0.0
1/3/22,4011.0
1/4/22,1470.0
1/5/22,1361.0
1/6/22,1338.0
1/7/22,1208.0
1/8/22,0.0
1/9/22,0.0
1/10/22,3590.0
1/11/22,0.0
1/12/22,0.0
1/13/22,3731.0
1/14/22,1206.0
1/15/22,0.0
1/16/22,0.0
1/17/22,3508.0
1/18/22,1490.0
1/19/22,1563.0
1/20/22,1586.0
1/21/22,1458.0
1/22/22,0.0
1/23/22,0.0
1/24/22,3830.0
1/25/22,1687.0
1/26/22,1641.0
1/27/22,1451.0
1/28/22,1298.0
1/29/22,0.0
1/30/22,0.0
1/31/22,3187.0
2/1/22,1504.0
2/2/22,1544.0
2/3/22,1415.0
2/4/22,1394.0
2/5/22,0.0
2/6/22,0.0
2/7/22,4671.0
2/8/22,1310.0
2/9/22,2470.0
2/10/22,1961.0
2/11/22,2038.0
2/12/22,0.0
2/13/22,0.0
2/14/22,6147.0
2/15/22,1806.0
2/16/22,2690.0
2/17/22,3141.0
2/18/22,2322.0
2/19/22,0.0
2/20/22,0.0
2/21/22,7408.0
2/22/22,2600.0
2/23/22,3147.0
2/24/22,3443.0
2/25/22,4689.0
2/26/22,0.0
2/27/22,0.0
2/28/22,6471.0
