,Mongolia
7/1/21,2485.0
7/2/21,2376.0
7/3/21,2401.0
7/4/21,2520.0
7/5/21,1551.0
7/6/21,1643.0
7/7/21,1998.0
7/8/21,1510.0
7/9/21,2308.0
7/10/21,1783.0
7/11/21,1735.0
7/12/21,1496.0
7/13/21,1246.0
7/14/21,1159.0
7/15/21,1439.0
7/16/21,1364.0
7/17/21,1295.0
7/18/21,1466.0
7/19/21,2480.0
7/20/21,1497.0
7/21/21,1309.0
7/22/21,0.0
7/23/21,1243.0
7/24/21,1442.0
7/25/21,1501.0
7/26/21,1249.0
7/27/21,1127.0
7/28/21,1243.0
7/29/21,2525.0
7/30/21,1286.0
7/31/21,992.0
8/1/21,1063.0
8/2/21,1019.0
8/3/21,1444.0
8/4/21,1178.0
8/5/21,1246.0
8/6/21,972.0
8/7/21,1463.0
8/8/21,1071.0
8/9/21,957.0
8/10/21,1433.0
8/11/21,1443.0
8/12/21,0.0
8/13/21,1453.0
8/14/21,1402.0
8/15/21,1300.0
8/16/21,1061.0
8/17/21,1298.0
8/18/21,1582.0
8/19/21,1875.0
8/20/21,1841.0
8/21/21,1651.0
8/22/21,1780.0
8/23/21,1566.0
8/24/21,1596.0
8/25/21,2433.0
8/26/21,2467.0
8/27/21,2489.0
8/28/21,2422.0
8/29/21,2414.0
8/30/21,2209.0
8/31/21,2740.0
9/1/21,3726.0
9/2/21,3805.0
9/3/21,3638.0
9/4/21,3696.0
9/5/21,3628.0
9/6/21,3766.0
9/7/21,4664.0
9/8/21,6203.0
9/9/21,6273.0
9/10/21,3393.0
9/11/21,4405.0
9/12/21,4366.0
9/13/21,3405.0
9/14/21,4370.0
9/15/21,4976.0
9/16/21,5166.0
9/17/21,5239.0
9/18/21,8127.0
9/19/21,5508.0
9/20/21,5509.0
9/21/21,8777.0
9/22/21,9255.0
9/23/21,8084.0
9/24/21,7380.0
9/25/21,7925.0
9/26/21,5084.0
9/27/21,4284.0
9/28/21,8400.0
9/29/21,7797.0
9/30/21,7633.0
10/1/21,7490.0
10/2/21,7224.0
10/3/21,4732.0
10/4/21,3422.0
10/5/21,7589.0
10/6/21,7696.0
10/7/21,7549.0
10/8/21,7870.0
10/9/21,7345.0
10/10/21,4927.0
10/11/21,4012.0
10/12/21,7720.0
10/13/21,8002.0
10/14/21,7183.0
10/15/21,7009.0
10/16/21,6076.0
10/17/21,6867.0
10/18/21,3693.0
10/19/21,6634.0
10/20/21,7332.0
10/21/21,6390.0
10/22/21,6186.0
10/23/21,6580.0
10/24/21,3921.0
10/25/21,3251.0
10/26/21,5597.0
10/27/21,6151.0
10/28/21,5388.0
10/29/21,5190.0
10/30/21,4721.0
10/31/21,24556.0
11/1/21,2194.0
11/2/21,3744.0
11/3/21,6293.0
11/4/21,5926.0
11/5/21,3944.0
11/6/21,3372.0
11/7/21,1781.0
11/8/21,1969.0
11/9/21,2183.0
11/10/21,3862.0
11/11/21,3204.0
11/12/21,2888.0
11/13/21,2477.0
11/14/21,2457.0
11/15/21,1423.0
11/16/21,1747.0
11/17/21,2968.0
11/18/21,3588.0
11/19/21,2911.0
11/20/21,2220.0
11/21/21,1714.0
11/22/21,1162.0
11/23/21,1685.0
11/24/21,2585.0
11/25/21,1788.0
11/26/21,2389.0
11/27/21,1830.0
11/28/21,1189.0
11/29/21,1068.0
11/30/21,1041.0
12/1/21,1979.0
12/2/21,1803.0
12/3/21,1845.0
12/4/21,922.0
12/5/21,1111.0
12/6/21,797.0
12/7/21,1000.0
12/8/21,1091.0
12/9/21,995.0
12/10/21,946.0
12/11/21,869.0
12/12/21,566.0
12/13/21,401.0
12/14/21,606.0
12/15/21,917.0
12/16/21,864.0
12/17/21,684.0
12/18/21,702.0
12/19/21,623.0
12/20/21,309.0
12/21/21,617.0
12/22/21,818.0
12/23/21,565.0
12/24/21,230.0
12/25/21,310.0
12/26/21,705.0
12/27/21,273.0
12/28/21,405.0
12/29/21,431.0
12/30/21,242.0
12/31/21,593.0
1/1/22,498.0
1/2/22,427.0
1/3/22,303.0
1/4/22,1347.0
1/5/22,745.0
1/6/22,1869.0
1/7/22,2001.0
1/8/22,2353.0
1/9/22,1428.0
1/10/22,2394.0
1/11/22,3443.0
1/12/22,3222.0
1/13/22,2610.0
1/14/22,6280.0
1/15/22,8348.0
1/16/22,7089.0
1/17/22,4704.0
1/18/22,5640.0
1/19/22,9071.0
1/20/22,4441.0
1/21/22,11059.0
1/22/22,8269.0
1/23/22,9518.0
1/24/22,5228.0
1/25/22,4871.0
1/26/22,12310.0
1/27/22,7768.0
1/28/22,7896.0
1/29/22,6646.0
1/30/22,2725.0
1/31/22,4724.0
2/1/22,5092.0
2/2/22,2728.0
2/3/22,3472.0
2/4/22,1939.0
2/5/22,3297.0
2/6/22,1740.0
2/7/22,860.0
2/8/22,0.0
2/9/22,2396.0
2/10/22,1192.0
2/11/22,10876.0
2/12/22,0.0
2/13/22,0.0
2/14/22,10114.0
2/15/22,2809.0
2/16/22,2904.0
2/17/22,2454.0
2/18/22,0.0
2/19/22,0.0
2/20/22,0.0
2/21/22,5281.0
2/22/22,704.0
2/23/22,3444.0
2/24/22,1081.0
2/25/22,1737.0
2/26/22,0.0
2/27/22,0.0
2/28/22,2189.0
