,Malawi
7/6/21,309.0
7/7/21,190.0
7/8/21,427.0
7/9/21,451.0
7/10/21,512.0
7/11/21,240.0
7/12/21,232.0
7/13/21,514.0
7/14/21,781.0
7/15/21,785.0
7/16/21,756.0
7/17/21,789.0
7/18/21,427.0
7/19/21,347.0
7/20/21,867.0
7/21/21,781.0
7/22/21,952.0
7/23/21,848.0
7/24/21,801.0
7/25/21,571.0
7/26/21,372.0
7/27/21,743.0
7/28/21,629.0
7/29/21,760.0
7/30/21,668.0
7/31/21,538.0
8/1/21,284.0
8/2/21,356.0
8/3/21,516.0
8/4/21,675.0
8/5/21,537.0
8/6/21,503.0
8/7/21,481.0
8/8/21,221.0
8/9/21,215.0
8/10/21,439.0
8/11/21,378.0
8/12/21,321.0
8/13/21,347.0
8/14/21,276.0
8/15/21,187.0
8/16/21,138.0
8/17/21,244.0
8/18/21,396.0
8/19/21,187.0
8/20/21,201.0
8/21/21,150.0
8/22/21,72.0
8/23/21,153.0
8/24/21,163.0
8/25/21,167.0
8/26/21,136.0
8/27/21,131.0
8/28/21,92.0
8/29/21,32.0
8/30/21,41.0
8/31/21,108.0
9/1/21,89.0
9/2/21,80.0
9/3/21,65.0
9/4/21,75.0
9/5/21,18.0
9/6/21,31.0
9/7/21,46.0
9/8/21,67.0
9/9/21,30.0
9/10/21,57.0
9/11/21,46.0
9/12/21,15.0
9/13/21,24.0
9/14/21,34.0
9/15/21,36.0
9/16/21,43.0
9/17/21,37.0
9/18/21,50.0
9/19/21,26.0
9/20/21,19.0
9/21/21,34.0
9/22/21,17.0
9/23/21,20.0
9/24/21,22.0
9/25/21,22.0
9/26/21,12.0
9/27/21,8.0
9/28/21,11.0
9/29/21,24.0
9/30/21,28.0
10/1/21,17.0
10/2/21,12.0
10/3/21,3.0
10/4/21,7.0
10/5/21,10.0
10/6/21,10.0
10/7/21,9.0
10/8/21,15.0
10/9/21,9.0
10/10/21,4.0
10/11/21,3.0
10/12/21,15.0
10/13/21,5.0
10/14/21,3.0
10/15/21,7.0
10/16/21,3.0
10/17/21,4.0
10/18/21,10.0
10/19/21,6.0
10/20/21,6.0
10/21/21,7.0
10/22/21,2.0
10/23/21,10.0
10/24/21,0.0
10/25/21,8.0
10/26/21,1.0
10/27/21,8.0
10/28/21,8.0
10/29/21,7.0
10/30/21,5.0
10/31/21,2.0
11/1/21,4.0
11/2/21,2.0
11/3/21,1.0
11/4/21,0.0
11/5/21,0.0
11/6/21,12.0
11/7/21,0.0
11/8/21,3.0
11/9/21,3.0
11/10/21,11.0
11/11/21,2.0
11/12/21,7.0
11/13/21,2.0
11/14/21,0.0
11/15/21,2.0
11/16/21,1.0
11/17/21,8.0
11/18/21,4.0
11/19/21,3.0
11/20/21,2.0
11/21/21,0.0
11/22/21,2.0
11/23/21,0.0
11/24/21,2.0
11/25/21,5.0
11/26/21,14.0
11/27/21,3.0
11/28/21,8.0
11/29/21,4.0
11/30/21,15.0
12/1/21,10.0
12/2/21,10.0
12/3/21,13.0
12/4/21,17.0
12/5/21,15.0
12/6/21,16.0
12/7/21,18.0
12/8/21,38.0
12/9/21,35.0
12/10/21,59.0
12/11/21,83.0
12/12/21,35.0
12/13/21,115.0
12/14/21,235.0
12/15/21,318.0
12/16/21,475.0
12/17/21,536.0
12/18/21,468.0
12/19/21,329.0
12/20/21,482.0
12/21/21,943.0
12/22/21,1112.0
12/23/21,1192.0
12/24/21,1265.0
12/25/21,947.0
12/26/21,325.0
12/27/21,544.0
12/28/21,584.0
12/29/21,1103.0
12/30/21,963.0
12/31/21,874.0
1/1/22,753.0
1/2/22,238.0
1/3/22,229.0
1/4/22,506.0
1/5/22,828.0
1/6/22,776.0
1/7/22,677.0
1/8/22,631.0
1/9/22,274.0
1/10/22,282.0
1/11/22,598.0
1/12/22,547.0
1/13/22,476.0
1/14/22,372.0
1/15/22,244.0
1/16/22,213.0
1/17/22,73.0
1/18/22,183.0
1/19/22,244.0
1/20/22,184.0
1/21/22,162.0
1/22/22,200.0
1/23/22,58.0
1/24/22,104.0
1/25/22,86.0
1/26/22,92.0
1/27/22,119.0
1/28/22,85.0
1/29/22,80.0
1/30/22,31.0
1/31/22,55.0
2/1/22,97.0
2/2/22,60.0
2/3/22,61.0
2/4/22,45.0
2/5/22,57.0
2/6/22,18.0
2/7/22,31.0
2/8/22,32.0
2/9/22,39.0
2/10/22,21.0
2/11/22,38.0
2/12/22,35.0
2/13/22,16.0
2/14/22,8.0
2/15/22,32.0
2/16/22,41.0
2/17/22,28.0
2/18/22,45.0
2/19/22,26.0
2/20/22,14.0
2/21/22,9.0
2/22/22,10.0
2/23/22,19.0
2/24/22,19.0
2/25/22,19.0
2/26/22,19.0
2/27/22,14.0
2/28/22,11.0
