,Mauritius
7/6/21,63.0
7/7/21,31.0
7/8/21,0.0
7/9/21,53.0
7/10/21,0.0
7/11/21,0.0
7/12/21,0.0
7/13/21,129.0
7/14/21,64.0
7/15/21,40.0
7/16/21,0.0
7/17/21,171.0
7/18/21,0.0
7/19/21,0.0
7/20/21,196.0
7/21/21,389.0
7/22/21,61.0
7/23/21,207.0
7/24/21,205.0
7/25/21,136.0
7/26/21,56.0
7/27/21,59.0
7/28/21,69.0
7/29/21,0.0
7/30/21,0.0
7/31/21,301.0
8/1/21,0.0
8/2/21,179.0
8/3/21,0.0
8/4/21,100.0
8/5/21,99.0
8/6/21,0.0
8/7/21,0.0
8/8/21,418.0
8/9/21,110.0
8/10/21,99.0
8/11/21,0.0
8/12/21,130.0
8/13/21,258.0
8/14/21,0.0
8/15/21,358.0
8/16/21,157.0
8/17/21,0.0
8/18/21,338.0
8/19/21,298.0
8/20/21,312.0
8/21/21,373.0
8/22/21,371.0
8/23/21,284.0
8/24/21,236.0
8/25/21,333.0
8/26/21,0.0
8/27/21,0.0
8/28/21,1197.0
8/29/21,332.0
8/30/21,0.0
8/31/21,480.0
9/1/21,0.0
9/2/21,505.0
9/3/21,285.0
9/4/21,278.0
9/5/21,292.0
9/6/21,0.0
9/7/21,580.0
9/8/21,167.0
9/9/21,0.0
9/10/21,331.0
9/11/21,175.0
9/12/21,0.0
9/13/21,0.0
9/14/21,493.0
9/15/21,0.0
9/16/21,291.0
9/17/21,170.0
9/18/21,163.0
9/19/21,0.0
9/20/21,329.0
9/21/21,128.0
9/22/21,68.0
9/23/21,125.0
9/24/21,105.0
9/25/21,108.0
9/26/21,122.0
9/27/21,0.0
9/28/21,0.0
9/29/21,216.0
9/30/21,88.0
10/1/21,81.0
10/2/21,0.0
10/3/21,0.0
10/4/21,307.0
10/5/21,0.0
10/6/21,0.0
10/7/21,106.0
10/8/21,0.0
10/9/21,102.0
10/10/21,0.0
10/11/21,0.0
10/12/21,146.0
10/13/21,35.0
10/14/21,0.0
10/15/21,149.0
10/16/21,48.0
10/17/21,0.0
10/18/21,0.0
10/19/21,136.0
10/20/21,0.0
10/21/21,146.0
10/22/21,96.0
10/23/21,64.0
10/24/21,79.0
10/25/21,95.0
10/26/21,1060.0
10/27/21,903.0
10/28/21,1017.0
10/29/21,885.0
10/30/21,916.0
10/31/21,786.0
11/1/21,736.0
11/2/21,931.0
11/3/21,104.0
11/4/21,1307.0
11/5/21,1213.0
11/6/21,1597.0
11/7/21,1400.0
11/8/21,1658.0
11/9/21,2125.0
11/10/21,1877.0
11/11/21,1674.0
11/12/21,1621.0
11/13/21,1599.0
11/14/21,1364.0
11/15/21,1128.0
11/16/21,1996.0
11/17/21,1396.0
11/18/21,1341.0
11/19/21,1278.0
11/20/21,1192.0
11/21/21,1137.0
11/22/21,976.0
11/23/21,1346.0
11/24/21,1152.0
11/25/21,161.0
11/26/21,127.0
11/27/21,151.0
11/28/21,134.0
11/29/21,61.0
11/30/21,0.0
12/1/21,414.0
12/2/21,0.0
12/3/21,258.0
12/4/21,0.0
12/5/21,0.0
12/6/21,6194.0
12/7/21,95.0
12/8/21,59.0
12/9/21,81.0
12/10/21,-14.0
12/11/21,60.0
12/12/21,92.0
12/13/21,57.0
12/14/21,59.0
12/15/21,2748.0
12/16/21,36.0
12/17/21,67.0
12/18/21,30.0
12/19/21,20.0
12/20/21,1111.0
12/21/21,-31.0
12/22/21,-41.0
12/23/21,57.0
12/24/21,-29.0
12/25/21,37.0
12/26/21,-27.0
12/27/21,5.0
12/28/21,1423.0
12/29/21,36.0
12/30/21,49.0
12/31/21,0.0
1/1/22,72.0
1/2/22,60.0
1/3/22,49.0
1/4/22,0.0
1/5/22,102.0
1/6/22,101.0
1/7/22,81.0
1/8/22,76.0
1/9/22,89.0
1/10/22,0.0
1/11/22,213.0
1/12/22,100.0
1/13/22,61.0
1/14/22,73.0
1/15/22,109.0
1/16/22,2.0
1/17/22,241.0
1/18/22,53.0
1/19/22,0.0
1/20/22,132.0
1/21/22,40.0
1/22/22,84.0
1/23/22,0.0
1/24/22,0.0
1/25/22,222.0
1/26/22,74.0
1/27/22,115.0
1/28/22,105.0
1/29/22,0.0
1/30/22,0.0
1/31/22,128.0
2/1/22,0.0
2/2/22,0.0
2/3/22,0.0
2/4/22,0.0
2/5/22,0.0
2/6/22,0.0
2/7/22,0.0
2/8/22,0.0
2/9/22,0.0
2/10/22,0.0
2/11/22,0.0
2/12/22,0.0
2/13/22,0.0
2/14/22,0.0
2/15/22,0.0
2/16/22,0.0
2/17/22,0.0
2/18/22,0.0
2/19/22,0.0
2/20/22,0.0
2/21/22,0.0
2/22/22,0.0
2/23/22,0.0
2/24/22,0.0
2/25/22,0.0
2/26/22,0.0
2/27/22,0.0
2/28/22,0.0
